tweet_id,tweet,sentiment
1,I absolutely hate the customer support right now. #twitter,negative
2,Really happy with the new feature today! :),positive
3,I absolutely hate this app right now. #twitter,negative
4,I absolutely hate the new feature right now. :(,negative
5,Totally enjoying the customer support ! #twitter,positive
6,What a terrible the customer support so far. #twitter,negative
7,The product was announced this morning.,neutral
8,Really happy with my new phone very much! :),positive
9,I absolutely love this movie today! @user,positive
10,This is fantastic the overall experience very much! :),positive
11,Really happy with the new update right now! #update,positive
12,The event starts at 6 PM today.,neutral
13,Best thing about my new phone so far! #update,positive
14,This is fantastic this app so far! :),positive
15,Terrible experience with this movie and it keeps failing. @support,negative
16,The new version is available for download. #twitter,neutral
17,I absolutely hate the latest product . @support,negative
18,Really disappointed with the latest product completely. #twitter,negative
19,I'm annoyed by this movie so far. @support,negative
20,Feeling great about the new feature finally! :),positive
21,Totally fed up with the weekend completely. #twitter,negative
22,I read a post about the new feature. :),neutral
23,I absolutely hate this app so far. #twitter,negative
24,I'm annoyed by the overall experience today. :(,negative
25,Best thing about the new feature finally! :),positive
26,I am checking the latest update today.,neutral
27,Feeling unhappy about the customer support completely.,negative
28,Amazing experience with this movie ! #update,positive
29,I read a post about the new feature. :),neutral
30,I am using the app to check my account. :),neutral
31,Terrible experience with my new phone so far.,negative
32,Worst thing about the new update today. @support,negative
33,I am using the app to check my account. #twitter,neutral
34,Totally enjoying this app today! @user,positive
35,The new version is available for download. #twitter,neutral
36,Best thing about the new feature so far! #update,positive
37,Totally fed up with the weekend right now. #twitter,negative
38,I'm annoyed by my new phone and I would not recommend it. :(,negative
39,So excited about this app very much!,positive
40,So frustrated about the overall experience right now.,negative
41,I absolutely love the latest product today!,positive
42,The service is available from Monday. :),neutral
43,Best thing about the latest product so far! :),positive
44,So frustrated about this movie and it keeps failing. #twitter,negative
45,I'm impressed by my new phone and it works perfectly! @user,positive
46,I absolutely hate this app . :(,negative
47,Really disappointed with the latest product right now. #twitter,negative
48,Terrible experience with the weekend so far. @support,negative
49,Really disappointed with this movie today.,negative
50,Feeling unhappy about the new update today. #twitter,negative
51,Best thing about this movie right now! @user,positive
52,I read a post about the new feature. @user,neutral
53,I'm impressed by the customer support and I would recommend it! #update,positive
54,Feeling unhappy about this movie so far. #twitter,negative
55,I absolutely love the overall experience ! #update,positive
56,Totally enjoying this movie so far!,positive
57,The service is available from Monday. #twitter,neutral
58,Really happy with the latest product and it works perfectly!,positive
59,I am comparing two phones before buying one. #twitter,neutral
60,I absolutely hate the overall experience today. :(,negative
61,Totally fed up with the new feature completely. @support,negative
62,What a great the latest product finally! @user,positive
63,This is fantastic this movie very much!,positive
64,Totally enjoying the overall experience today!,positive
65,Feeling unhappy about the customer support so far. @support,negative
66,The event starts at 6 PM today. #update,neutral
67,Best thing about the new feature finally! :),positive
68,The new version is available for download.,neutral
69,Feeling unhappy about the customer support today. #twitter,negative
70,Really happy with the new feature so far! #update,positive
71,So excited about my new phone right now! #update,positive
72,This is awful the new update today. :(,negative
73,I am checking the latest update today.,neutral
74,Amazing experience with the customer support so far! @user,positive
75,I'm annoyed by the new feature .,negative
76,Amazing experience with the new feature ! #update,positive
77,Terrible experience with the weekend so far.,negative
78,I absolutely love my new phone right now! #twitter,positive
79,What a terrible the new feature and it keeps failing. #twitter,negative
80,The event starts at 6 PM today. #twitter,neutral
81,I read a post about the new feature. @user,neutral
